@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {Membrane,Nucleus,Other}

@data
10537,24514.367188,81808.445313,-58644,-1775947008,43282.777344,-101926.78125,1.399215,36258311275169186000,10542907392,10570.879883,23578.039063,75339.390625,-49875.960938,-1710048128,43354.789063,-93230.75,1.410461,23203952655096350000,9327804416,10655.469727,18363.875,44010.296875,-7747.705078,-959790080,40280.351563,-48028.058594,1.465369,234056287199952896,3899187712,-84.589844,10474.481445,12745.972656,11255.051758,6973.625,-40860504,13784.226563,-6810.601074,1.437563,10313438395891712,212073456,96.398438,180.988281,10643.295898,6293.657227,1269.461792,1266.820313,-3863.923584,1533.490479,-266.670227,-0.025204,2600294940672,1620289.375,-72.416016,12.173828,-168.814453,11466.28418,5009.90332,5696.882813,3923.970703,-9611162,7150.539551,-3226.569092,1.364445,829037605814272,53842192,-895.404297,-810.814453,-991.802734,-822.988281,10543.548828,11996.237305,9235.973633,105435.484375,887.901306,10338.199219,Membrane
10180,18117.490234,78522.4375,66274,-1744780416,108540.460938,-42266.460938,1.125903,49945795078794510000,11371364352,10269.405273,17399.978516,74523.070313,61701.613281,-1618157440,102543.617188,-40842.007813,1.138091,39135805772826410000,10279718912,10671.253906,14277.75,52084.621094,34117.617188,-1051238016,68870.796875,-34753.179688,1.222072,6249537780616003600,5368964096,-401.848633,11141.083008,11479.102539,19482.873047,370.490234,-222136000,21264.634766,-20894.144531,1.285474,121983077449728,888681344,-871.677734,-469.829102,10951.21875,6168.87207,2900.278809,-2639.244141,-2230586,1498.884033,-4138.12793,1.041907,110669277954048,15887953,-681.813477,-279.964844,189.864258,11434.136719,4809.882324,5536.849609,3528.720703,-10878038,7054.163086,-3525.442383,1.306795,696856766054400,55964024,-1164.731445,-762.882813,-293.053711,-482.917969,10775.55957,11498.841797,9376.416992,107755.59375,705.048828,11016.44043,Membrane
9742,4702.265625,88932.617188,80572,-2123488896,126847.546875,-46275.546875,1.044108,97285545289620390000,14985802752,9591.254883,4830.949219,82964.070313,75031.15625,-1815070336,117796.195313,-42765.039063,1.054322,72566250107169670000,12889955328,9381.331055,8645.62207,50582.25,41194.976563,-779469120,69663.273438,-28468.294922,1.138245,8171014614503391200,4814902272,209.923828,9944.603516,10016.720703,19145.654297,9275.503906,-170383168,24228.154297,-14952.649414,1.273413,66037664796639232,767567680,-353.348633,-563.272461,10223.916016,6143.014648,2618.762451,1790.783203,-2814933.75,3584.874756,-1794.091675,1.154487,46393133629440,14466640,-632.661133,-842.584961,-279.3125,10872.276367,4208.236816,4835.989746,3338.039063,-7330635,6167.077148,-2829.038086,1.315442,450881942192128,40465044,-1281.021484,-1490.945313,-927.672852,-648.360352,10009.135742,10857.947266,9192,100091.359375,541.322205,9845.332031,Membrane
7208,18720.994141,49354.605469,51922,-382663744,71931.367188,-20009.367188,0.871874,11394329158596166000,4226549248,7893.190918,16653.013672,45615.671875,46164.054688,-425707424,66865.296875,-20701.242188,0.908287,8170606145933672400,3833949440,10228.035156,8213.151367,32027.080078,17934.230469,-553384064,44570.296875,-26636.066406,1.109575,815404488947924990,2535173120,-2334.844238,10642.063477,8183.561523,20085.431641,632.884766,-263341408,23270.376953,-22637.492188,1.193408,422078784208896,1053766144,-2748.872559,-414.02832,10535.071289,5745.131348,5346.062012,-1997.300781,-17859224,5142.445313,-7139.746094,1.132799,300890644807680,75426112,-2641.880371,-307.036133,106.992188,10846.991211,4002.25708,4683.012695,2911.533203,-8462669,6056.185059,-3144.651855,1.265846,358813009969152,42327700,-2953.800293,-618.956055,-204.927734,-311.919922,10194.925781,11427.447266,8875.5,101949.257813,748.463074,10267.417969,Membrane
13022,18188.179688,70959.359375,-87436,1255330560,-7498.311035,-79937.6875,-0.199672,20058570945424523000,2623731712,12470.118164,16790.285156,63797.15625,-80228.484375,1150567040,-9829.417969,-70399.0625,-0.193621,11806937389593526000,1834341120,10614.575195,10074.962891,30200.654297,-42630.800781,452095904,-19193.900391,-23436.900391,0.390173,16359225487785984,9001518,1855.542969,9920.419922,8162.790527,12466.828125,-5989.693848,-79338144,10294.791992,-16284.485352,1.206598,12672596285849600,353228992,2549.698242,694.155273,9879.769531,5601.989746,4935.314453,1677.24707,-14784126,6404.127441,-4726.880371,1.169044,174274170060800,61949664,2590.348633,734.805664,40.650391,10379.15625,3507.26123,4078.608154,2706.636719,-5857091,5274.686035,-2568.049072,1.274032,225301988638720,30754246,2090.961914,235.418945,-458.736328,-499.386719,9860.975586,10596.158203,9099.079102,98609.757813,480.33078,9993.697266,Membrane
13852,9846.228516,121114.976563,-169266,6830633472,-58860.476563,-110405.523438,-0.877892,38061275049233480000,1328445952,13570.40332,8800.40918,108466.3125,-151651.609375,5490966528,-53084.386719,-98567.226563,-0.869514,23788068207352350000,1034344320,11725.305664,5753.688965,44539.238281,-62671.480469,962108352,-25039.669922,-37631.8125,-0.814352,311393203498516480,79281016,1845.097656,10579.994141,6539.312988,14424.335938,-13059.828125,-42161684,6493.254395,-19553.082031,1.151987,57854643996196864,339205824,2990.40918,1145.311523,10195.331055,4964.949707,7310.856445,-2012.664063,-34932800,7472.524414,-9485.188477,1.143279,582434609430528,143782016,3375.072266,1529.974609,384.663086,10363.62207,3304.542236,3947.571777,2272.396484,-6782594,5154.541504,-2882.144775,1.233743,166760141553664,32294162,3206.78125,1361.683594,216.37207,-168.291016,10140.473633,11724.605469,8763.737305,101404.734375,989.722778,10165.597656,Membrane
9998,11860.141602,73487.921875,-56976,-1080653568,33029.796875,-90005.796875,1.540156,24570581836747506000,7568878592,10122.415039,11322.15918,65898.09375,-54026.289063,-713777792,26717.4375,-80743.726563,1.545008,16853238364248211000,5773950976,10372.730469,8639.65918,29605.154297,-34128.449219,143991824,93.627937,-34222.078125,1.548133,685786567842725890,588783808,-250.31543,9926.956055,7199.919434,12947.257813,-12119.521484,-22999964,4869.160645,-16988.681641,1.216841,35087754652024832,238882656,195.458984,445.774414,9654.978516,4856.890625,6470.8125,482.364258,-28067888,7741.322754,-7258.958496,1.170381,26176951156736,112504224,467.436523,717.751953,271.977539,9976.751953,2903.500244,3449.790527,2080.476563,-4900134,4499.206543,-2418.729736,1.242627,103573522219008,23928920,145.663086,395.978516,-49.795898,-321.773438,9673.249023,10802.710938,8823.555664,96732.492188,803.048035,9614.819336,Membrane
11802,4352.61377,63079.671875,-25342,-1738921856,48964.640625,-74306.640625,1.432817,4879502861697810400,7597904384,11309.213867,4769.633301,57763.71875,-21619.378906,-1502317824,46096.679688,-67716.054688,1.424121,3027179261883580400,6476669440,9516.160156,6762.732422,30517.574219,-6194.675781,-492576672,28593.992188,-34788.667969,1.34938,77081125226283008,2008680704,1793.053711,9237.114258,7545.930664,11978.035156,-5943.826172,-73385744,9851.347656,-15795.173828,1.193199,11618743381655552,328872032,2072.099609,279.045898,9177.104492,4704.833496,5763.460449,2629.556641,-17578100,7528.753418,-4899.196777,1.198841,533991169982464,77226976,2132.109375,339.055664,60.009766,9636.325195,2559.065186,3015.043457,1919.552734,-3491835.5,3930.636963,-2011.084106,1.250323,65042108121088,17652024,1672.888672,-120.165039,-399.210938,-459.220703,9217.084961,10336.194336,8508.083008,92170.851563,680.203613,8927.568359,Membrane
8291,3015.268555,55543.011719,74550,1168628224,58289.15625,16260.84375,0.449856,4908504679903658000,883189504,8527.305664,2834.963623,50488.253906,68537.546875,1007042176,52561.214844,15976.330078,0.555081,3143623590579011600,669226944,9403.742188,5038.775879,28210.699219,31492.917969,40668320,36107.335938,-4614.419434,1.151556,822335123054657540,829130752,-876.436523,9821.670898,5893.428711,15297.992188,-4623.433594,-144430144,14995.748047,-19619.181641,1.173688,12806373779701760,599096704,-1294.365234,-417.928711,9560.022461,4037.816895,7735.603027,-1593.135742,-37536496,7940.824707,-9533.960938,1.195323,387524597907456,152684064,-1032.716797,-156.280273,261.648438,9653.344727,2387.878662,2949.571533,1488.082031,-4219693.5,3833.795166,-2345.713135,1.22369,42279670644736,19093162,-1126.039063,-249.602539,168.326172,-93.322266,9486.773438,11748.75,8306.447266,94867.734375,1286.325073,9016.467773,Membrane
8840,4304.931641,49928.578125,56824,-66306112,70210.273438,-13386.275391,0.74818,11282629772330402000,3494191616,8820.303711,4300.852539,45470.050781,50761.941406,-134185344,64836.742188,-14074.801758,0.769782,8022829584137322500,3113516032,9087.169922,5144.73291,25370.587891,18384.671875,-354528960,38824.34375,-20439.673828,0.929861,593559120188014590,1756112000,-266.866211,9366.745117,6400.116699,14766.774414,-3948.244141,-160179696,16140.891602,-20089.136719,1.065028,10230935295361024,656307456,-546.441406,-279.575195,9208.511719,4063.241455,6844.254395,-320.061523,-29180062,7482.700684,-7802.762207,1.229547,11967243747328,116822688,-388.208008,-121.341797,158.233398,9373.415039,2113.660156,2603.560059,1342.271484,-3196544,3371.864258,-2029.592773,1.234403,26282857332736,14587869,-553.111328,-286.245117,-6.669922,-164.90332,9073.81543,10972.472656,7958.472168,90738.15625,1032.714111,8742.670898,Membrane
